Date,AAPL,BA,DIS,JNJ,JPM,NEE,PG,XOM
2022-02-18,165.83900451660156,209.02999877929688,151.36000061035156,156.7266082763672,145.137451171875,71.1822280883789,153.95086669921875,73.41454315185547
2022-02-22,162.88504028320312,198.74000549316406,148.08999633789062,154.5967559814453,144.87986755371094,70.82705688476562,152.05416870117188,72.56043243408203
2022-02-23,158.6721649169922,196.4199981689453,145.8699951171875,154.67352294921875,141.84625244140625,69.42549133300781,150.15748596191406,72.85462951660156
2022-02-24,161.31883239746094,198.42999267578125,149.39999389648438,151.7185821533203,137.89678955078125,72.42060852050781,146.1137237548828,71.9341049194336
2022-02-25,163.410400390625,201.47999572753906,149.52999877929688,159.25942993164062,141.15936279296875,74.07176971435547,152.35263061523438,73.87004089355469
2022-02-28,163.67803955078125,205.33999633789062,148.4600067138672,157.8874969482422,135.2733612060547,75.55349731445312,150.09007263183594,74.42047119140625
2022-03-01,161.77481079101562,194.91000366210938,145.6999969482422,157.34063720703125,130.1696014404297,74.7522964477539,147.60606384277344,75.1322250366211
2022-03-02,165.10546875,197.80999755859375,147.33999633789062,159.29779052734375,132.86935424804688,74.85848999023438,148.06820678710938,76.42285919189453
2022-03-03,164.77835083007812,188.85000610351562,145.57000732421875,161.6387176513672,131.9249267578125,76.0554428100586,148.61700439453125,76.90684509277344
2022-03-04,161.7450714111328,180.83999633789062,140.72000122070312,162.5980987548828,128.21395874023438,77.42616271972656,149.3679656982422,79.80130004882812
2022-03-07,157.90887451171875,169.1699981689453,133.5,165.21726989746094,123.26285552978516,81.25837707519531,147.15353393554688,82.67676544189453
2022-03-08,156.0651092529297,173.8000030517578,131.75,161.86898803710938,122.39472961425781,79.10576629638672,141.32864379882812,83.30309295654297
2022-03-09,161.52699279785156,178.55999755859375,133.64999389648438,162.4829864501953,127.29814910888672,77.53234100341797,143.23497009277344,78.56758880615234
2022-03-10,157.1356964111328,178.38999938964844,133.63999938964844,162.7707977294922,125.79085540771484,77.3779067993164,139.54747009277344,81.00651550292969
